timestamp,value,type
0,0,Abrupt
1,0,Abrupt
2,1,Abrupt
3,0,Abrupt
4,1,Abrupt
5,0,Abrupt
6,0,Abrupt
7,0,Abrupt
8,0,Abrupt
9,1,Abrupt
10,0,Abrupt
11,0,Abrupt
12,0,Abrupt
13,0,Abrupt
14,0,Abrupt
15,0,Abrupt
16,1,Abrupt
17,0,Abrupt
18,0,Abrupt
19,0,Abrupt
20,0,Abrupt
21,1,Abrupt
22,0,Abrupt
23,0,Abrupt
24,0,Abrupt
25,0,Abrupt
26,0,Abrupt
27,0,Abrupt
28,1,Abrupt
29,0,Abrupt
30,0,Abrupt
31,0,Abrupt
32,0,Abrupt
33,0,Abrupt
34,0,Abrupt
35,0,Abrupt
36,0,Abrupt
37,0,Abrupt
38,0,Abrupt
39,0,Abrupt
40,0,Abrupt
41,1,Abrupt
42,0,Abrupt
43,1,Abrupt
44,0,Abrupt
45,0,Abrupt
46,0,Abrupt
47,0,Abrupt
48,0,Abrupt
49,0,Abrupt
50,0,Abrupt
51,0,Abrupt
52,0,Abrupt
53,0,Abrupt
54,0,Abrupt
55,0,Abrupt
56,0,Abrupt
57,1,Abrupt
58,0,Abrupt
59,0,Abrupt
60,1,Abrupt
61,0,Abrupt
62,1,Abrupt
63,0,Abrupt
64,1,Abrupt
65,1,Abrupt
66,0,Abrupt
67,0,Abrupt
68,0,Abrupt
69,0,Abrupt
70,0,Abrupt
71,1,Abrupt
72,0,Abrupt
73,0,Abrupt
74,0,Abrupt
75,1,Abrupt
76,0,Abrupt
77,0,Abrupt
78,0,Abrupt
79,0,Abrupt
80,0,Abrupt
81,0,Abrupt
82,1,Abrupt
83,0,Abrupt
84,0,Abrupt
85,0,Abrupt
86,0,Abrupt
87,0,Abrupt
88,0,Abrupt
89,0,Abrupt
90,1,Abrupt
91,1,Abrupt
92,1,Abrupt
93,0,Abrupt
94,1,Abrupt
95,0,Abrupt
96,0,Abrupt
97,0,Abrupt
98,0,Abrupt
99,0,Abrupt
100,0,Abrupt
101,0,Abrupt
102,0,Abrupt
103,0,Abrupt
104,0,Abrupt
105,0,Abrupt
106,0,Abrupt
107,0,Abrupt
108,0,Abrupt
109,1,Abrupt
110,0,Abrupt
111,0,Abrupt
112,1,Abrupt
113,0,Abrupt
114,0,Abrupt
115,0,Abrupt
116,0,Abrupt
117,1,Abrupt
118,0,Abrupt
119,0,Abrupt
120,0,Abrupt
121,0,Abrupt
122,0,Abrupt
123,1,Abrupt
124,0,Abrupt
125,0,Abrupt
126,1,Abrupt
127,0,Abrupt
128,0,Abrupt
129,0,Abrupt
130,0,Abrupt
131,1,Abrupt
132,0,Abrupt
133,0,Abrupt
134,0,Abrupt
135,0,Abrupt
136,1,Abrupt
137,0,Abrupt
138,0,Abrupt
139,0,Abrupt
140,0,Abrupt
141,1,Abrupt
142,0,Abrupt
143,1,Abrupt
144,0,Abrupt
145,0,Abrupt
146,0,Abrupt
147,0,Abrupt
148,0,Abrupt
149,0,Abrupt
150,0,Abrupt
151,0,Abrupt
152,0,Abrupt
153,0,Abrupt
154,0,Abrupt
155,0,Abrupt
