timestamp,value,type
0,0,Gradual
1,0,Gradual
2,1,Gradual
3,0,Gradual
4,0,Gradual
5,0,Gradual
6,1,Gradual
7,1,Gradual
8,0,Gradual
9,0,Gradual
10,1,Gradual
11,0,Gradual
12,0,Gradual
13,0,Gradual
14,0,Gradual
15,0,Gradual
16,0,Gradual
17,1,Gradual
18,1,Gradual
19,0,Gradual
20,0,Gradual
21,0,Gradual
22,0,Gradual
23,1,Gradual
24,1,Gradual
25,0,Gradual
26,1,Gradual
27,0,Gradual
28,0,Gradual
29,0,Gradual
30,0,Gradual
31,0,Gradual
32,0,Gradual
33,0,Gradual
34,0,Gradual
35,0,Gradual
36,0,Gradual
37,1,Gradual
38,0,Gradual
39,1,Gradual
40,1,Gradual
41,0,Gradual
42,1,Gradual
43,0,Gradual
44,0,Gradual
45,0,Gradual
46,0,Gradual
47,0,Gradual
48,0,Gradual
49,0,Gradual
50,0,Gradual
51,0,Gradual
52,0,Gradual
53,0,Gradual
54,0,Gradual
55,0,Gradual
56,0,Gradual
57,0,Gradual
58,0,Gradual
59,1,Gradual
60,0,Gradual
61,1,Gradual
62,0,Gradual
63,0,Gradual
64,0,Gradual
65,0,Gradual
66,1,Gradual
67,0,Gradual
68,0,Gradual
69,0,Gradual
70,0,Gradual
71,0,Gradual
72,0,Gradual
73,0,Gradual
74,0,Gradual
75,0,Gradual
76,1,Gradual
77,0,Gradual
78,1,Gradual
79,0,Gradual
80,0,Gradual
81,0,Gradual
82,0,Gradual
83,0,Gradual
84,1,Gradual
85,0,Gradual
86,0,Gradual
87,0,Gradual
88,0,Gradual
89,0,Gradual
90,0,Gradual
91,1,Gradual
92,0,Gradual
93,0,Gradual
94,1,Gradual
95,0,Gradual
96,0,Gradual
97,1,Gradual
98,0,Gradual
99,0,Gradual
100,0,Gradual
101,1,Gradual
102,0,Gradual
103,0,Gradual
104,0,Gradual
105,0,Gradual
106,0,Gradual
107,0,Gradual
108,0,Gradual
109,0,Gradual
110,1,Gradual
111,1,Gradual
112,0,Gradual
113,1,Gradual
114,0,Gradual
115,0,Gradual
116,0,Gradual
117,1,Gradual
118,1,Gradual
119,1,Gradual
120,0,Gradual
121,0,Gradual
122,0,Gradual
123,0,Gradual
124,0,Gradual
125,1,Gradual
126,0,Gradual
127,1,Gradual
128,0,Gradual
129,0,Gradual
130,0,Gradual
131,0,Gradual
132,0,Gradual
133,0,Gradual
134,0,Gradual
135,0,Gradual
136,0,Gradual
137,0,Gradual
138,0,Gradual
139,0,Gradual
140,1,Gradual
141,1,Gradual
142,0,Gradual
143,0,Gradual
144,1,Gradual
145,0,Gradual
146,0,Gradual
147,0,Gradual
148,1,Gradual
149,0,Gradual
150,0,Gradual
151,0,Gradual
152,0,Gradual
153,1,Gradual
154,0,Gradual
155,0,Gradual
156,0,Gradual
157,1,Gradual
158,0,Gradual
159,1,Gradual
160,0,Gradual
161,0,Gradual
162,0,Gradual
163,0,Gradual
164,0,Gradual
165,0,Gradual
166,0,Gradual
167,0,Gradual
168,0,Gradual
169,1,Gradual
170,0,Gradual
171,0,Gradual
172,0,Gradual
173,0,Gradual
174,1,Gradual
175,1,Gradual
176,0,Gradual
177,1,Gradual
178,1,Gradual
179,0,Gradual
180,0,Gradual
181,0,Gradual
182,1,Gradual
183,1,Gradual
184,0,Gradual
185,0,Gradual
186,0,Gradual
187,0,Gradual
188,0,Gradual
189,0,Gradual
190,0,Gradual
191,0,Gradual
192,0,Gradual
193,0,Gradual
194,0,Gradual
195,0,Gradual
196,0,Gradual
197,0,Gradual
198,0,Gradual
199,0,Gradual
200,1,Gradual
201,0,Gradual
202,0,Gradual
203,0,Gradual
204,0,Gradual
205,0,Gradual
206,0,Gradual
207,0,Gradual
208,0,Gradual
209,1,Gradual
210,0,Gradual
211,0,Gradual
212,0,Gradual
213,0,Gradual
214,0,Gradual
215,1,Gradual
216,0,Gradual
217,0,Gradual
218,0,Gradual
219,0,Gradual
220,0,Gradual
221,0,Gradual
222,0,Gradual
223,0,Gradual
224,0,Gradual
225,0,Gradual
226,1,Gradual
227,1,Gradual
228,0,Gradual
229,0,Gradual
230,0,Gradual
231,0,Gradual
232,0,Gradual
233,0,Gradual
234,0,Gradual
235,1,Gradual
236,0,Gradual
237,0,Gradual
238,0,Gradual
239,0,Gradual
240,0,Gradual
241,0,Gradual
242,0,Gradual
